ID,TOWN,TOWNNO,TRACT,LON,LAT,MEDV,CMEDV,CRIM,ZN,INDUS,CHAS,NOX,RM,AGE,DIS,RAD,TAX,PTRATIO,B,LSTAT
351,Sudbury,35,3652,-71.43536758,42.36642889,32.9,32.9,0.01778,95,1.47,0,0.403,7.135,13.9,7.6534,3,402,17,384.3,4.45
352,Wayland,36,3661,-71.36666862,42.32505713,24.1,24.1,0.03445,82.5,2.03,0,0.415,6.162,38.4,6.27,2,348,14.7,393.77,7.43
353,Wayland,36,3662,-71.35831026,42.36510486,42.3,42.3,0.02177,82.5,2.03,0,0.415,7.61,15.7,6.27,2,348,14.7,395.38,3.11
354,Weston,37,3671,-71.30388893,42.38477047,48.5,48.5,0.0351,95,2.68,0,0.4161,7.853,33.2,5.118,4,224,14.7,392.78,3.81
355,Weston,37,3672,-71.29874421,42.34617273,50,50,0.02009,95,2.68,0,0.4161,8.034,31.9,5.118,4,224,14.7,390.55,2.88
356,Waltham,38,3681,-71.25423681,42.40769998,22.6,22.6,0.13642,0,10.59,0,0.489,5.891,22.3,3.9454,4,277,18.6,396.9,10.87
357,Waltham,38,3682,-71.26191587,42.39037705,24.4,24.4,0.22969,0,10.59,0,0.489,6.326,52.5,4.3549,4,277,18.6,394.87,10.97
358,Waltham,38,3683,-71.25415656,42.37714446,22.5,22.5,0.25199,0,10.59,0,0.489,5.783,72.7,4.3549,4,277,18.6,389.43,18.06
359,Waltham,38,3684,-71.25731694,42.36591134,24.4,24.4,0.13587,0,10.59,1,0.489,6.064,59.1,4.2392,4,277,18.6,381.32,14.66
360,Waltham,38,3685,-71.23844654,42.36934707,20,20,0.43571,0,10.59,1,0.489,5.344,100,3.875,4,277,18.6,396.9,23.09
361,Waltham,38,3686,-71.2414125,42.3622267,21.7,21.7,0.17446,0,10.59,1,0.489,5.96,92.1,3.8771,4,277,18.6,393.25,17.27
362,Waltham,38,3687,-71.22771715,42.36827705,19.3,19.3,0.37578,0,10.59,1,0.489,5.404,88.6,3.665,4,277,18.6,395.24,23.98
363,Waltham,38,3688,-71.22471965,42.37348986,22.4,22.4,0.21719,0,10.59,1,0.489,5.807,53.8,3.6526,4,277,18.6,390.94,16.03
364,Waltham,38,3689,-71.22803676,42.39249624,28.1,28.1,0.14052,0,10.59,0,0.489,6.375,32.3,3.9454,4,277,18.6,385.81,9.38
365,Waltham,38,3690,-71.21327131,42.39702586,23.7,23.7,0.28955,0,10.59,0,0.489,5.412,9.8,3.5875,4,277,18.6,348.93,29.55
366,Waltham,38,3691,-71.20686806,42.38465371,25,25,0.19802,0,10.59,0,0.489,6.182,42.4,3.9454,4,277,18.6,393.63,9.47
367,Watertown,39,3701,-71.19816965,42.37176012,23.3,23.3,0.0456,0,13.89,1,0.55,5.888,56,3.1121,5,276,16.4,392.8,13.51
368,Watertown,39,3702,-71.17662623,42.37450877,28.7,28.7,0.07013,0,13.89,0,0.55,6.642,85.1,3.4211,5,276,16.4,392.78,9.69
369,Watertown,39,3703,-71.15545715,42.36734275,21.5,21.5,0.11069,0,13.89,1,0.55,5.951,93.8,2.8893,5,276,16.4,396.9,17.92
370,Watertown,39,3704,-71.17712543,42.36413727,23,23,0.11425,0,13.89,1,0.55,6.373,92.4,3.3633,5,276,16.4,393.74,10.5
371,Newton,40,3731,-71.18423435,42.35596886,26.7,26.7,0.35809,0,6.2,1,0.507,6.951,88.5,2.8617,8,307,17.4,391.7,9.71
372,Newton,40,3732,-71.20134774,42.36091418,21.7,21.7,0.40771,0,6.2,1,0.507,6.164,91.3,3.048,8,307,17.4,395.24,21.46
373,Newton,40,3733,-71.21028364,42.35680881,27.5,27.5,0.62356,0,6.2,1,0.507,6.879,77.7,3.2721,8,307,17.4,390.39,9.93
374,Newton,40,3734,-71.20279741,42.34802371,30.1,30.1,0.6147,0,6.2,0,0.507,6.618,80.8,3.2721,8,307,17.4,396.9,7.6
375,Newton,40,3735,-71.18327062,42.34368289,44.8,44.8,0.31533,0,6.2,0,0.504,8.266,78.3,2.8944,8,307,17.4,385.05,4.14
376,Newton,40,3736,-71.17559475,42.32959742,50,50,0.52693,0,6.2,0,0.504,8.725,83,2.8944,8,307,17.4,382,4.63
377,Newton,40,3737,-71.20487495,42.33662176,37.6,37.6,0.38214,0,6.2,0,0.504,8.04,86.5,3.2157,8,307,17.4,387.38,3.13
378,Newton,40,3738,-71.19289441,42.32453463,31.6,31.6,0.41238,0,6.2,0,0.504,7.163,79.9,3.2157,8,307,17.4,372.08,6.36
379,Newton,40,3739,-71.18299933,42.30791372,46.7,46.7,0.29819,0,6.2,0,0.504,7.686,17,3.3751,8,307,17.4,377.51,3.92
380,Newton,40,3740,-71.19781507,42.29971916,31.5,31.5,0.44178,0,6.2,0,0.504,6.552,21.4,3.3751,8,307,17.4,380.34,3.76
381,Newton,40,3741,-71.21602599,42.31200504,24.3,24.3,0.537,0,6.2,0,0.504,5.981,68.1,3.6715,8,307,17.4,378.35,11.65
382,Newton,40,3742,-71.2139811,42.32337797,31.7,31.7,0.46296,0,6.2,0,0.504,7.412,76.9,3.6715,8,307,17.4,376.14,5.25
383,Newton,40,3743,-71.23695249,42.32540005,41.7,41.7,0.57529,0,6.2,0,0.507,8.337,73.3,3.8384,8,307,17.4,385.91,2.47
384,Newton,40,3744,-71.22639789,42.33827779,48.3,48.3,0.33147,0,6.2,0,0.507,8.247,70.4,3.6519,8,307,17.4,378.95,3.95
385,Newton,40,3745,-71.22318794,42.35442022,29,29,0.44791,0,6.2,1,0.507,6.726,66.5,3.6519,8,307,17.4,360.2,8.05
386,Newton,40,3746,-71.23131496,42.35591196,24,24,0.33045,0,6.2,0,0.507,6.086,61.5,3.6519,8,307,17.4,376.75,10.88
387,Newton,40,3747,-71.24878391,42.35073671,25.1,25.1,0.52058,0,6.2,1,0.507,6.631,76.5,4.148,8,307,17.4,388.45,9.54
388,Newton,40,3748,-71.25272104,42.33605997,31.5,31.5,0.51183,0,6.2,0,0.507,7.358,71.6,4.148,8,307,17.4,390.07,4.73
389,Natick,41,3821,-71.34272094,42.31245385,23.7,23.7,0.08244,30,4.93,0,0.428,6.481,18.5,6.1899,6,300,16.6,379.41,6.36
390,Natick,41,3822,-71.3405145,42.29482537,23.3,23.3,0.09252,30,4.93,0,0.428,6.606,42.2,6.1899,6,300,16.6,383.78,7.37
391,Natick,41,3823,-71.32688067,42.26720189,22,27,0.11329,30,4.93,0,0.428,6.897,54.3,6.3361,6,300,16.6,391.25,11.38
392,Natick,41,3824,-71.35887864,42.27110272,20.1,20.1,0.10612,30,4.93,0,0.428,6.095,65.1,6.3361,6,300,16.6,394.62,12.4
393,Natick,41,3825,-71.36734169,42.29527006,22.2,22.2,0.1029,30,4.93,0,0.428,6.358,52.9,7.0355,6,300,16.6,372.75,11.22
394,Natick,41,3826,-71.38779895,42.28704734,23.7,23.7,0.12757,30,4.93,0,0.428,6.393,7.8,7.0355,6,300,16.6,374.71,5.19
395,Framingham,42,3831,-71.406524,42.26941059,17.6,17.6,0.20608,22,5.86,0,0.431,5.593,76.5,7.9549,7,330,19.1,372.49,12.5
396,Framingham,42,3832,-71.42785733,42.26822755,18.5,18.5,0.19133,22,5.86,0,0.431,5.605,70.2,7.9549,7,330,19.1,389.13,18.46
397,Framingham,42,3833,-71.43412661,42.28238469,24.3,24.3,0.33983,22,5.86,0,0.431,6.108,34.9,8.0555,7,330,19.1,390.18,9.16
398,Framingham,42,3834,-71.41148527,42.28455521,20.5,20.5,0.19657,22,5.86,0,0.431,6.226,79.2,8.0555,7,330,19.1,376.14,10.15
399,Framingham,42,3835,-71.42421717,42.29470223,24.5,24.5,0.16439,22,5.86,0,0.431,6.433,49.1,7.8265,7,330,19.1,374.71,9.52
400,Framingham,42,3836,-71.41486581,42.30487942,26.2,26.2,0.19073,22,5.86,0,0.431,6.718,17.5,7.8265,7,330,19.1,393.74,6.56
401,Framingham,42,3837,-71.39606898,42.31728029,24.4,24.4,0.1403,22,5.86,0,0.431,6.487,13,7.3967,7,330,19.1,396.28,5.9
402,Framingham,42,3838,-71.40588162,42.33035125,24.8,24.8,0.21409,22,5.86,0,0.431,6.438,8.9,7.3967,7,330,19.1,377.07,3.59
403,Framingham,42,3839,-71.45448472,42.32783637,29.6,29.6,0.08221,22,5.86,0,0.431,6.957,6.8,8.9067,7,330,19.1,386.09,3.53
404,Framingham,42,3840,-71.46759854,42.29246127,42.8,42.8,0.36894,22,5.86,0,0.431,8.259,8.4,8.9067,7,330,19.1,396.9,3.54
405,Ashland,43,3851,-71.48515232,42.26586197,21.9,21.9,0.04819,80,3.64,0,0.392,6.108,32,9.2203,1,315,16.4,392.89,6.57
406,Ashland,43,3852,-71.45008026,42.24682377,20.9,20.9,0.03548,80,3.64,0,0.392,5.876,19.1,9.2203,1,315,16.4,395.18,9.25
407,Sherborn,44,3861,-71.37553371,42.23391152,44,44,0.01538,90,3.75,0,0.394,7.454,34.2,6.3361,3,244,15.9,386.34,3.11
408,Brookline,45,4001,-71.11248932,42.34539549,50,50,0.61154,20,3.97,0,0.647,8.704,86.9,1.801,5,264,13,389.7,5.12
409,Brookline,45,4002,-71.12043292,42.34678327,36,36,0.66351,20,3.97,0,0.647,7.333,100,1.8946,5,264,13,383.29,7.79
410,Brookline,45,4003,-71.12788899,42.3467542,30.1,30.1,0.65665,20,3.97,0,0.647,6.842,100,2.0107,5,264,13,391.93,6.9
411,Brookline,45,4004,-71.1331114,42.34200199,33.8,33.8,0.54011,20,3.97,0,0.647,7.203,81.8,2.1121,5,264,13,392.8,9.59
412,Brookline,45,4005,-71.13149618,42.33713627,43.1,43.1,0.53412,20,3.97,0,0.647,7.52,89.4,2.1398,5,264,13,388.37,7.26
413,Brookline,45,4006,-71.1401097,42.33324635,48.8,48.8,0.52014,20,3.97,0,0.647,8.398,91.5,2.2885,5,264,13,386.86,5.91
414,Brookline,45,4007,-71.12554197,42.33301082,31,31,0.82526,20,3.97,0,0.647,7.327,94.5,2.0788,5,264,13,393.42,11.25
415,Brookline,45,4008,-71.11827318,42.3384894,36.5,36.5,0.55007,20,3.97,0,0.647,7.206,91.6,1.9301,5,264,13,387.89,8.1
416,Brookline,45,4009,-71.11664477,42.33300336,22.8,22.8,0.76162,20,3.97,0,0.647,5.56,62.8,1.9865,5,264,13,392.4,10.45
417,Brookline,45,4010,-71.12170101,42.32722614,30.7,30.7,0.7857,20,3.97,0,0.647,7.014,84.6,2.1329,5,264,13,384.07,14.79
418,Brookline,45,4011,-71.14174216,42.3227993,50,50,0.57834,20,3.97,0,0.575,8.297,67,2.4216,5,264,13,384.54,7.44
419,Brookline,45,4012,-71.15633708,42.31086178,43.5,43.5,0.5405,20,3.97,0,0.575,7.47,52.6,2.872,5,264,13,390.3,3.16
420,Dedham,46,4021,-71.17234012,42.26025518,20.7,20.7,0.09065,20,6.96,1,0.464,5.92,61.5,3.9175,3,223,18.6,391.34,13.65
421,Dedham,46,4022,-71.14571814,42.23459174,21.1,21.1,0.29916,20,6.96,0,0.464,5.856,42.1,4.429,3,223,18.6,388.65,13
422,Dedham,46,4023,-71.15302144,42.22386593,25.2,25.2,0.16211,20,6.96,0,0.464,6.24,16.3,4.429,3,223,18.6,396.9,6.59
423,Dedham,46,4024,-71.16712033,42.2394927,24.4,24.4,0.1146,20,6.96,0,0.464,6.538,58.7,3.9175,3,223,18.6,394.96,7.73
424,Dedham,46,4025,-71.19893371,42.25151012,35.2,35.2,0.22188,20,6.96,1,0.464,7.691,51.8,4.3665,3,223,18.6,390.77,6.58
425,Needham,47,4031,-71.20957067,42.2797958,32.4,32.4,0.05644,40,6.41,1,0.447,6.758,32.9,4.0776,4,254,17.6,396.9,3.53
426,Needham,47,4032,-71.22847242,42.28803824,32,32,0.09604,40,6.41,0,0.447,6.854,42.8,4.2673,4,254,17.6,396.9,2.98
427,Needham,47,4033,-71.24624822,42.26645934,33.2,33.2,0.10469,40,6.41,1,0.447,7.267,49,4.7872,4,254,17.6,389.25,6.05
428,Needham,47,4034,-71.26521316,42.27922346,33.1,33.1,0.06127,40,6.41,1,0.447,6.826,27.6,4.8628,4,254,17.6,393.45,4.16
429,Needham,47,4035,-71.23341925,42.30222313,29.1,29.1,0.07978,40,6.41,0,0.447,6.482,32.1,4.1403,4,254,17.6,396.9,7.19
430,Wellesley,48,4041,-71.24720659,42.31311191,35.1,35.1,0.21038,20,3.33,0,0.4429,6.812,32.2,4.1007,5,216,14.9,396.9,4.85
431,Wellesley,48,4042,-71.27207957,42.31177362,45.4,45.4,0.03578,20,3.33,0,0.4429,7.82,64.5,4.6947,5,216,14.9,387.31,3.76
432,Wellesley,48,4043,-71.30868931,42.30735026,35.4,35.4,0.03705,20,3.33,0,0.4429,6.968,37.2,5.2447,5,216,14.9,392.23,4.59
433,Wellesley,48,4044,-71.29635441,42.28811746,46,46,0.06129,20,3.33,1,0.4429,7.645,49.7,5.2119,5,216,14.9,377.07,3.01
434,Dover,49,4051,-71.28459679,42.23637686,50,50,0.01501,90,1.21,1,0.401,7.923,24.8,5.885,1,198,13.6,395.52,3.16
435,Medfield,50,4061,-71.30524352,42.18457845,32.2,32.2,0.00906,90,2.97,0,0.4,7.088,20.8,7.3073,1,285,15.3,394.72,7.85
436,Millis,51,4071,-71.36284403,42.1691276,22,22,0.01096,55,2.25,0,0.389,6.453,31.9,7.3073,1,300,15.3,394.72,8.23
437,Norfolk,52,4091,-71.32959356,42.11652483,20.1,20.1,0.01965,80,1.76,0,0.385,6.23,31.5,9.0892,1,241,18.2,341.6,12.93
438,Walpole,53,4111,-71.25522367,42.1216722,23.2,23.2,0.03871,52.5,5.32,0,0.405,6.209,31.3,7.3172,6,293,16.6,396.9,7.14
439,Walpole,53,4112,-71.22163124,42.15477293,22.3,22.3,0.0459,52.5,5.32,0,0.405,6.315,45.6,7.3172,6,293,16.6,396.9,7.6
440,Walpole,53,4113,-71.26617635,42.1584167,24.8,24.8,0.04297,52.5,5.32,0,0.405,6.565,22.9,7.3172,6,293,16.6,371.72,9.51
441,Westwood,54,4121,-71.2282787,42.20750247,28.5,28.5,0.03502,80,4.95,0,0.411,6.861,27.9,5.1167,4,245,19.2,396.9,3.33
442,Westwood,54,4122,-71.22048862,42.23422623,37.3,37.3,0.07886,80,4.95,0,0.411,7.148,27.7,5.1167,4,245,19.2,396.9,3.56
443,Westwood,54,4123,-71.17228669,42.21442252,27.9,27.9,0.03615,80,4.95,0,0.411,6.63,23.4,5.1167,4,245,19.2,396.9,4.7
444,Norwood,55,4131,-71.17801007,42.18834041,23.9,23.9,0.08265,0,13.92,0,0.437,6.127,18.4,5.5027,4,289,16,396.9,8.58
445,Norwood,55,4132,-71.19526603,42.20249802,21.7,21.7,0.08199,0,13.92,0,0.437,6.009,42.3,5.5027,4,289,16,396.9,10.4
446,Norwood,55,4133,-71.21842377,42.19407039,28.6,28.6,0.12932,0,13.92,0,0.437,6.678,31.1,5.9604,4,289,16,396.9,6.27
447,Norwood,55,4134,-71.2159876,42.18296515,27.1,27.1,0.05372,0,13.92,0,0.437,6.549,51,5.9604,4,289,16,392.85,7.39
448,Norwood,55,4135,-71.19940643,42.16789552,20.3,20.3,0.14103,0,13.92,0,0.437,5.79,58,6.32,4,289,16,396.9,15.84
449,Sharon,56,4141,-71.20513869,42.12004894,22.5,22.5,0.06466,70,2.24,0,0.4,6.345,20.1,7.8278,5,358,14.8,368.24,4.97
450,Sharon,56,4142,-71.16299097,42.09191738,29,29,0.05561,70,2.24,0,0.4,7.041,10,7.8278,5,358,14.8,371.58,4.74
451,Sharon,56,4143,-71.17098694,42.1242957,24.8,24.8,0.04417,70,2.24,0,0.4,6.871,47.4,7.8278,5,358,14.8,390.86,6.07
452,Canton,57,4151,-71.15126139,42.16126298,22,22,0.03537,34,6.09,0,0.433,6.59,40.4,5.4917,7,329,16.1,395.75,9.5
453,Canton,57,4152,-71.10403849,42.16505402,26.4,26.4,0.09266,34,6.09,0,0.433,6.495,18.4,5.4917,7,329,16.1,383.61,8.67
454,Canton,57,4153,-71.1262705,42.1976007,33.1,33.1,0.1,34,6.09,0,0.433,6.982,17.7,5.4917,7,329,16.1,390.43,4.86
455,Milton,58,4161,-71.09120643,42.23177261,36.1,36.1,0.05515,33,2.18,0,0.472,7.236,41.1,4.022,7,222,18.4,393.68,6.93
456,Milton,58,4162,-71.09655724,42.25431798,28.4,28.4,0.05479,33,2.18,0,0.472,6.616,58.1,3.37,7,222,18.4,393.36,8.93
457,Milton,58,4163,-71.07863877,42.26400154,33.4,33.4,0.07503,33,2.18,0,0.472,7.42,71.9,3.0992,7,222,18.4,396.9,6.47
458,Milton,58,4164,-71.05002676,42.26262748,28.2,28.2,0.04932,33,2.18,0,0.472,6.849,70.3,3.1827,7,222,18.4,396.9,7.53
459,Quincy,59,4171,-71.02381431,42.25948373,22.8,22.8,0.49298,0,9.9,0,0.544,6.635,82.5,3.3175,4,304,18.4,396.9,4.54
460,Quincy,59,4172,-71.03436864,42.27143808,20.3,20.3,0.3494,0,9.9,0,0.544,5.972,76.7,3.1025,4,304,18.4,396.24,9.97
461,Quincy,59,4173,-71.03053929,42.29702848,16.1,16.1,2.63548,0,9.9,0,0.544,4.973,37.8,2.5194,4,304,18.4,350.45,12.64
462,Quincy,59,4174,-71.00174438,42.3005998,22.1,22.1,0.79041,0,9.9,0,0.544,6.122,52.8,2.6403,4,304,18.4,396.9,5.98
463,Quincy,59,4175,-71.01816663,42.28267295,19.4,19.4,0.26169,0,9.9,0,0.544,6.023,90.4,2.834,4,304,18.4,396.3,11.72
464,Quincy,59,4176,-70.99157462,42.28100142,21.6,21.6,0.26938,0,9.9,0,0.544,6.266,82.8,3.2628,4,304,18.4,393.39,7.9
465,Quincy,59,4177,-70.9962958,42.25632849,23.8,23.8,0.3692,0,9.9,0,0.544,6.567,87.3,3.6023,4,304,18.4,395.69,9.28
466,Quincy,59,4178,-70.96261159,42.26741548,16.2,16.2,0.25356,0,9.9,0,0.544,5.705,77.7,3.945,4,304,18.4,396.42,11.5
467,Quincy,59,4179,-70.980113,42.24587593,17.8,17.8,0.31827,0,9.9,0,0.544,5.914,83.2,3.9986,4,304,18.4,390.7,18.33
468,Quincy,59,4180,-71.00764445,42.23668933,19.8,19.8,0.24522,0,9.9,0,0.544,5.782,71.7,4.0317,4,304,18.4,396.9,15.94
469,Quincy,59,4181,-71.01697461,42.24955239,23.1,23.1,0.40202,0,9.9,0,0.544,6.382,67.2,3.5325,4,304,18.4,395.21,10.36
470,Quincy,59,4182,-71.05311749,42.22698024,21,21,0.47547,0,9.9,0,0.544,6.113,58.8,4.0019,4,304,18.4,396.23,12.73
471,Braintree,60,4191,-71.0219476,42.21756108,23.8,23.8,0.1676,0,7.38,0,0.493,6.426,52.3,4.5404,5,287,19.6,396.9,7.2
472,Braintree,60,4192,-70.99478346,42.22234599,23.1,23.1,0.18159,0,7.38,0,0.493,6.376,54.3,4.5404,5,287,19.6,396.9,6.87
473,Braintree,60,4193,-70.98381643,42.22773473,20.4,20.4,0.35114,0,7.38,0,0.493,6.041,49.9,4.7211,5,287,19.6,396.9,7.7
474,Braintree,60,4194,-70.97054032,42.23051565,18.5,18.5,0.28392,0,7.38,0,0.493,5.708,74.3,4.7211,5,287,19.6,391.13,11.74
475,Braintree,60,4195,-70.97991362,42.21069962,25,25,0.34109,0,7.38,0,0.493,6.415,40.1,4.7211,5,287,19.6,396.9,6.12
476,Braintree,60,4196,-70.99304263,42.18036218,24.6,24.6,0.19186,0,7.38,0,0.493,6.431,14.7,5.4159,5,287,19.6,393.68,5.08
477,Braintree,60,4197,-71.00048386,42.19246686,23,23,0.30347,0,7.38,0,0.493,6.312,28.9,5.4159,5,287,19.6,396.9,6.15
478,Braintree,60,4198,-71.02311978,42.20090186,22.2,22.2,0.24103,0,7.38,0,0.493,6.083,43.7,5.4159,5,287,19.6,396.9,12.79
479,Randolph,61,4201,-71.04368863,42.18847065,19.3,19.3,0.06617,0,3.24,0,0.46,5.868,25.8,5.2146,4,430,16.9,382.44,9.97
480,Randolph,61,4202,-71.07373921,42.18897188,22.6,22.6,0.06724,0,3.24,0,0.46,6.333,17.2,5.2146,4,430,16.9,375.21,7.34
481,Randolph,61,4203,-71.04315718,42.16072626,19.8,19.8,0.04544,0,3.24,0,0.46,6.144,32.2,5.8736,4,430,16.9,368.57,9.09
482,Holbrook,62,4211,-71.01897381,42.13779519,17.1,17.1,0.05023,35,6.06,0,0.4379,5.706,28.4,6.6407,1,304,16.9,394.02,12.43
483,Holbrook,62,4212,-70.99819663,42.15232545,19.4,19.4,0.03466,35,6.06,0,0.4379,6.031,23.3,6.6407,1,304,16.9,362.25,7.83
484,Weymouth,63,4221,-70.96748846,42.15920699,22.2,22.2,0.05083,0,5.19,0,0.515,6.316,38.1,6.4584,5,224,20.2,389.71,5.68
485,Weymouth,63,4222,-70.94047432,42.16522054,20.7,20.7,0.03738,0,5.19,0,0.515,6.31,38.5,6.4584,5,224,20.2,389.4,6.75
486,Weymouth,63,4223,-70.94780394,42.18937678,21.1,21.1,0.03961,0,5.19,0,0.515,6.037,34.5,5.9853,5,224,20.2,396.9,8.01
487,Weymouth,63,4224,-70.95913349,42.21035624,19.5,19.5,0.03427,0,5.19,0,0.515,5.869,46.3,5.2311,5,224,20.2,396.9,9.8
488,Weymouth,63,4225,-70.93245331,42.20920421,18.5,18.5,0.03041,0,5.19,0,0.515,5.895,59.6,5.615,5,224,20.2,394.81,10.56
489,Weymouth,63,4226,-70.93847572,42.22769221,20.6,20.6,0.03306,0,5.19,0,0.515,6.059,37.3,4.8122,5,224,20.2,396.14,8.51
490,Weymouth,63,4227,-70.94888789,42.23914462,19,19,0.05497,0,5.19,0,0.515,5.985,45.4,4.8122,5,224,20.2,396.9,9.74
491,Weymouth,63,4228,-70.93116339,42.2645841,18.7,18.7,0.06151,0,5.19,0,0.515,5.968,58.5,4.8122,5,224,20.2,396.9,9.29
492,Cohasset,64,4231,-70.81962188,42.23582245,32.7,32.7,0.01301,35,1.52,0,0.442,7.241,49.3,7.0379,1,284,15.5,394.74,5.49
493,Hull,65,5001,-70.88386708,42.28517248,16.5,16.5,0.02498,0,1.89,0,0.518,6.54,59.7,6.2669,1,422,15.9,389.96,8.65
494,Hingham,66,5011,-70.89333785,42.25162051,23.9,23.9,0.02543,55,3.78,0,0.484,6.696,56.4,5.7321,5,370,17.6,396.9,7.18
495,Hingham,66,5012,-70.88203799,42.20162533,31.2,31.2,0.03049,55,3.78,0,0.484,6.874,28.1,6.4654,5,370,17.6,387.97,4.61
496,Rockland,67,5021,-70.90759488,42.11314649,17.5,17.5,0.03113,0,4.39,0,0.442,6.014,48.5,8.0136,3,352,18.8,385.64,10.53
497,Rockland,67,5022,-70.91367659,42.14871917,17.2,17.2,0.06162,0,4.39,0,0.442,5.898,52.3,8.0136,3,352,18.8,364.61,12.67
498,Hanover,68,5031,-70.85692873,42.12215399,23.1,23.1,0.0187,85,4.15,0,0.429,6.516,27.7,8.5353,4,351,17.9,392.43,6.36
499,Norwell,69,5041,-70.81807433,42.16054708,24.5,24.5,0.01501,80,2.01,0,0.435,6.635,29.7,8.344,4,280,17,390.94,5.99
500,Scituate,70,5051,-70.77468315,42.21110102,26.6,26.6,0.02899,40,1.25,0,0.429,6.939,34.5,8.7921,1,335,19.7,389.85,5.89
501,Scituate,70,5052,-70.73499629,42.17794395,22.9,22.9,0.06211,40,1.25,0,0.429,6.49,44.4,8.7921,1,335,19.7,396.9,5.98
502,Marshfield,71,5061,-70.73347861,42.12807525,24.1,24.1,0.0795,60,1.69,0,0.411,6.579,35.9,10.7103,4,411,18.3,370.78,5.49
503,Marshfield,71,5062,-70.68048114,42.08674387,18.6,18.6,0.07244,60,1.69,0,0.411,5.884,18.5,10.7103,4,411,18.3,392.33,7.79
504,Duxbury,72,5071,-70.71659266,42.04672923,30.1,30.1,0.01709,90,2.02,0,0.41,6.728,36.1,12.1265,5,187,17,384.46,4.5
505,Pembroke,73,5081,-70.80665311,42.07781463,18.2,18.2,0.04301,80,1.91,0,0.413,5.663,21.9,10.5857,4,334,22,382.8,8.05
506,Pembroke,73,5082,-70.79450092,42.04597302,20.6,20.6,0.10659,80,1.91,0,0.413,5.936,19.5,10.5857,4,334,22,376.04,5.57
